profile,period,loan_age,hazard_default,hazard_prepay,survival,marginal_pd,cum_pd
prime low-LTV,20,19.0,0.009891787552016362,0.04237336645219103,0.2998927339486542,0.003130068737207349,0.1272371633890307
prime low-LTV,21,20.0,0.009454253643981891,0.03970975015957512,0.28514880643614343,0.0028352619727377557,0.13007242536176847
prime low-LTV,22,21.0,0.008971168943774477,0.036838221718450526,0.27208631336524297,0.00255811811665429,0.13263054347842276
prime low-LTV,23,22.0,0.008460564928384984,0.033864632287332164,0.2605702064923616,0.002302003920351541,0.1349325473987743
prime low-LTV,24,23.0,0.007940771389110202,0.03089091186558568,0.2504518267682395,0.0020691284405690825,0.1370016758393434
prime low-LTV,25,24.0,0.007427183191787146,0.027999277038276205,0.24157920508768777,0.0018601515981254545,0.13886182743746883
prime low-LTV,26,25.0,0.006932174179114958,0.02525191512977354,0.23380419837597533,0.001674669127719986,0.14053649656518882
prime low-LTV,27,26.0,0.0064652465417955884,0.02269223137054388,0.2269870576260156,0.0015116017850075642,0.14204809835019638
prime low-LTV,28,27.0,0.006033342456177593,0.020347128960294003,0.2209990320404035,0.0013694906517778696,0.14341758900197427
prime low-LTV,29,28.0,0.00564125282203487,0.018229839064618725,0.21572354383970552,0.001246711413164901,0.14466430041513917
prime low-LTV,30,29.0,0.005292070988256015,0.016342908394081257,0.21105636941644876,0.0011416243078378801,0.14580592472297704
prime low-LTV,31,30.0,0.004987654343122205,0.014681060123638456,0.20690516195000547,0.0010526762175635553,0.1468586009405406
prime low-LTV,32,31.0,0.004729071442124755,0.013233749556159524,0.2031885615622765,0.0009784692926059684,0.14783707023314657
prime low-LTV,33,32.0,0.004517025794111618,0.011987326536194276,0.19983506595276462,0.0009178079736452393,0.1487548782067918
prime low-LTV,34,33.0,0.0043522592257315695,0.010926786471749717,0.19678177684811315,0.0008697340094175965,0.1496246122162094
prime low-LTV,35,34.0,0.004235948297228509,0.01003714050622595,0.1939730930722585,0.0008335574325653653,0.15045816964877476
prime low-LTV,36,35.0,0.00417011754141261,0.009304465883785529,0.19135938644741263,0.000808890597982686,0.15126706024675746
prime low-LTV,37,36.0,0.0041581049086307775,0.008716714589122598,0.18889566888770135,0.0007956924040995603,0.15206275265085703
prime low-LTV,38,37.0,0.0042051300069250175,0.00826436720666679,0.1865402348708466,0.0007943308454178454,0.1528570834962749
prime low-LTV,39,38.0,0.004319037902746792,0.007941024897803683,0.18425323987650058,0.0008056743447944752,0.15366275784106936
prime low-LTV,40,39.0,0.004511325597071458,0.007744040614523495,0.18199514894614122,0.0008312263573982046,0.15449398419846758
median,1,0.0,0.01679746418064476,0.02537319750435363,0.9578293383150016,0.01679746418064476,0.01679746418064476
median,2,1.0,0.017235742997069647,0.026240807273201106,0.9161862229374093,0.016508900310250645,0.033306364490895406
median,3,2.0,0.017678764842729122,0.027123533380558063,0.8751389745493003,0.016197040787458657,0.04950340527835406
median,4,3.0,0.018119561828143893,0.028006338704167133,0.8347724012572907,0.015857134757564492,0.06536054003591855
median,5,4.0,0.018550504035353188,0.028872324578007036,0.795185132741303,0.015485448798124841,0.0808459888340434
median,6,5.0,0.01896332633215747,0.029702791228768954,0.7564865595886139,0.015079355166653284,0.09592534400069669
median,7,6.0,0.019349188884883683,0.030477406024479015,0.7187934102296145,0.014637401330355905,0.11056274533105259
median,8,7.0,0.019698774923029516,0.031174493460858432,0.6822260401584332,0.014159349604269999,0.12472209493532259
median,9,8.0,0.020002428387178472,0.03177145697429118,0.6469045473646611,0.013646177512137406,0.13836827244746
median,10,9.0,0.020250332732054788,0.032245336852447015,0.6129448599934941,0.013100032330013682,0.1514683047774737
median,11,10.0,0.02043273035019688,0.03257350069037823,0.580454963129546,0.012524137043786247,0.16399244182125994
median,12,11.0,0.02054017985187573,0.03273445317361612,0.549531437980994,0.01192264933859477,0.1759150911598547
median,13,12.0,0.020563845847440643,0.032708740850834084,0.5202564768077239,0.011300479778963549,0.18721557093881824
median,14,13.0,0.020495813039568045,0.03247991563421149,0.4926955108515815,0.010663079481275478,0.19787865042009373
median,15,14.0,0.02032941350477513,0.032035508949062486,0.4668955486324845,0.010016210772048222,0.20789486119214196
median,16,15.0,0.02005955323424935,0.031367957907321165,0.4428842726032377,0.00936571611262738,0.21726057730476933
median,17,16.0,0.01968302156363344,0.03047541695920497,0.4206698890431362,0.008717300687843639,0.22597787799261296
median,18,17.0,0.019198765328935385,0.02936238463939589,0.4002416754741512,0.008076342480688458,0.2340542204733014
median,19,18.0,0.018608108729236905,0.028040076675189707,0.3815711275900546,0.007447740615194957,0.24150196108849636
median,20,19.0,0.017914900226323693,0.02652648502306365,0.36461357810878187,0.006835808680021657,0.248337769768518
median,21,20.0,0.017125569585502376,0.024846078016090067,0.3493101454976444,0.00624421520372095,0.25458198497223894
median,22,21.0,0.01625373176284961,0.023036482460153107,0.3355856750507737,0.005677593406960681,0.2602595783791996
median,23,22.0,0.01533185079469468,0.02116472364761879,0.3233379474795091,0.005145149498715355,0.26540472787791497
median,24,23.0,0.014392979220845814,0.01929506504560574,0.31244532439179584,0.00465379635938351,0.2700585242372985
median,25,24.0,0.013464920457862628,0.01747910027693722,0.30277700979532485,0.004207051440366617,0.2742655756776651
median,26,25.0,0.012570062421961015,0.015755636022836583,0.29420063951984493,0.003805925913061935,0.278071501590727
median,27,26.0,0.011725634137921825,0.014151561544561875,0.28658755200107805,0.003449689062152327,0.28152119065287934
median,28,27.0,0.010944255940208314,0.012683355897597504,0.2798161725648496,0.0031364875183775573,0.2846576781712569
median,29,28.0,0.010234667270257458,0.011358921581735126,0.27377393718034604,0.002863825423038179,0.2875215035942951
median,30,29.0,0.009602538663744276,0.010179496682664713,0.2683581314781189,0.002628924816899769,0.29015042841119487
median,31,30.0,0.00905130087912498,0.009141469500181576,0.2634759536127177,0.002428990191368234,0.2925794186025631
median,32,31.0,0.008582950421945679,0.008237987864048613,0.25904404085715466,0.0022614010472328154,0.2948408196497959
median,33,32.0,0.00819881482904905,0.007460312508869249,0.25498763723524354,0.0021238541235564278,0.29696467377335234
median,34,33.0,0.00790028237135787,0.006798907099183071,0.2512395256428771,0.00201447433536379,0.2989791481087161
median,35,34.0,0.007689519961404212,0.006244287048833841,0.2477388025792255,0.0019319113475246288,0.30091105945624075
median,36,35.0,0.007570221735914373,0.005787667394925644,0.24442953512096516,0.0018754376681146528,0.3027864971243554
median,37,36.0,0.007548451795694855,0.005421459814410445,0.24125930565554712,0.001845064563304708,0.3046315616876601
median,38,37.0,0.007633671985789681,0.0051396737927495995,0.23817761712211852,0.00184169440289382,0.3064732560905539
median,39,38.0,0.007840085388338025,0.004938280262802075,0.23513409644061484,0.00186733285582829,0.3083405889463822
median,40,39.0,0.008188487597110772,0.00481560093695077,0.2320763918331245,0.0019253926323618226,0.310265981578744
risky high-LTV investor,1,0.0,0.04723157592755567,0.0075583271038228705,0.9452100969686215,0.04723157592755567,0.04723157592755567
risky high-LTV investor,2,1.0,0.04844411160355799,0.007819215903501209,0.8920294317198967,0.04578986342635777,0.09302143935391344
risky high-LTV investor,3,2.0,0.049668749640336185,0.008084818349955003,0.8405115492857208,0.04430598651590691,0.13732742586982036
risky high-LTV investor,4,3.0,0.050886220511191516,0.008350614557275482,0.7907223052675408,0.042770456039156406,0.18009788190897677
risky high-LTV investor,5,4.0,0.052075492397339995,0.008611512103886665,0.7427357371685492,0.04117725339636698,0.22127513530534376
risky high-LTV investor,6,5.0,0.053213850113824734,0.008861862758310135,0.6966298868082009,0.0395238281918683,0.26079896349721204
risky high-LTV investor,7,6.0,0.054277062696988065,0.009095512595967525,0.6524826568551251,0.037811024042884424,0.2986099875400965
risky high-LTV investor,8,7.0,0.055239648120208096,0.009305890080910317,0.6103678126015154,0.03604291236921559,0.3346528999093121
risky high-LTV investor,9,8.0,0.05607524125103813,0.00948613548577748,0.5703512584915214,0.034226522343498406,0.36887942225281045
risky high-LTV investor,10,9.0,0.05675706781288625,0.009629273153711537,0.5324877253745751,0.032371465055368295,0.40125088730817876
risky high-LTV investor,11,10.0,0.05725852276218113,0.009728425551562059,0.4968179976372058,0.030489460543942165,0.4317403478521209
risky high-LTV investor,12,11.0,0.057553846193215685,0.00977706487799257,0.46336678921971935,0.028593786622033136,0.46033413447415406
risky high-LTV investor,13,12.0,0.057618883765893636,0.00976929431333573,0.4321413455117802,0.026698677169026346,0.4870328116431804
risky high-LTV investor,14,13.0,0.05743191192737385,0.009700147068575915,0.40313080721029426,0.02481870369560939,0.5118515153387898
risky high-LTV investor,15,14.0,0.05697450116873537,0.00956588754626908,0.37630632659552776,0.022968176646556142,0.534819691985346
risky high-LTV investor,16,15.0,0.05623238362020133,0.009364295590653438,0.3516218812048258,0.021160601715828488,0.5559802937011744
risky high-LTV investor,17,16.0,0.05519628493906936,0.009094912458619042,0.3290156894309398,0.019408221545793164,0.5753885152469675
risky high-LTV investor,18,17.0,0.053862675271977745,0.008759226277598509,0.3084121013191295,0.01772166523920459,0.5931101804861721
risky high-LTV investor,19,18.0,0.05223439074244185,0.008360775805495657,0.2897238186742975,0.016109718210000977,0.6092198986961731
risky high-LTV investor,20,19.0,0.050321076133236886,0.00790515457486618,0.2728542927665352,0.014579214337121442,0.6237991130332945
risky high-LTV investor,21,20.0,0.048139401894454315,0.007399903082562886,0.2577001549862863,0.013135042458115339,0.6369341554914099
risky high-LTV investor,22,21.0,0.04572589887480305,0.006856493943014352,0.24414966420758497,0.011783571226924,0.6487177267183338
risky high-LTV investor,23,22.0,0.043169539563306936,0.006295163462753939,0.23207287357364428,0.010539828588377442,0.6592575553067113
risky high-LTV investor,24,23.0,0.04056149565200928,0.005735217563534789,0.22132866230069806,0.009413222852406672,0.6686707781591179
risky high-LTV investor,25,24.0,0.03797895211588709,0.0051920722917723205,0.2117736772184,0.008405830667391555,0.6770766088265094
risky high-LTV investor,26,25.0,0.03548452345746589,0.004677247419524688,0.20326847131617687,0.007514688016930125,0.6845912968434396
risky high-LTV investor,27,26.0,0.03312681730876754,0.004198656633252029,0.19568137928683077,0.006733637513923447,0.691324934357363
risky high-LTV investor,28,27.0,0.030941818188493286,0.0037610844296169788,0.18889066743726238,0.006054737660766714,0.6973796720181297
risky high-LTV investor,29,28.0,0.028954788986808366,0.0033667539477192365,0.18278542961975733,0.005469289417223327,0.702848961435353
risky high-LTV investor,30,29.0,0.027182439320770135,0.0030159111287219043,0.17726561115903894,0.004968553849359954,0.7078175152847129
risky high-LTV investor,31,30.0,0.025635174911770586,0.0027073734911361447,0.17224145199459304,0.0045442349479038755,0.7123617502326168
risky high-LTV investor,32,31.0,0.02431931027361678,0.0024390128256198684,0.16763255957104006,0.0041887933130347775,0.7165505435456516
risky high-LTV investor,33,32.0,0.023239191794684366,0.0022081582821915635,0.16336675514335305,0.0038956452029052526,0.7204461887485569
risky high-LTV investor,34,33.0,0.022399237151920826,0.002011919009785035,0.1593787837719175,0.0036592906911957464,0.7241054794397527
risky high-LTV investor,35,34.0,0.02180595081554726,0.0018474339862417644,0.15560893607011922,0.003475405919972175,0.7275808853597249
risky high-LTV investor,36,35.0,0.021470028202233205,0.0017120617342706312,0.15200159571921804,0.0033409282459449636,0.7309218136056699
risky high-LTV investor,37,36.0,0.021408719829943634,0.0016035252581841908,0.14850369774474087,0.0032541595764570986,0.734175973182127
risky high-LTV investor,38,37.0,0.021648702167414546,0.0015200287877401575,0.14506305552584736,0.0032149123232356465,0.7373908855053627
risky high-LTV investor,39,38.0,0.02222980932143437,0.0014603637590241414,0.14162648663285987,0.003224724063924233,0.740615609569287
risky high-LTV investor,40,39.0,0.023210142800938582,0.0014240228425358437,0.1381376363016427,0.003287170979143897,0.7439027805484308
